"Location_skey";"Country";"State";"Region";"City";"Address";"PostalCode";"District";"SubDistrict";"SubSubDistrict";"SubSubSubDistrict";"DistrictCode";"SubDistrictCode";"SubSubDistrictCode";"SubSubSubDistrictCode";"Latitude";"Longitude";"IsGarage";"NameGarage"
"52712";"NLD";"NH";"Amsterdam";"Amsterdam";"Pieter Lodewijk Takstraat 5";"1073KH";"Zuid";"Nieuwe Pijp";"Van der Helstpleinbuurt";"Van der Helstpleinbuurt";"K";"K25";"K25b";"-1";52.3497;4.89962;NA;NA
"52850";"NLD";"NH";"Amsterdam";"Amsterdam";"Van Boetzelaerstraat 35 II";"1051CT";"West";"Centrale Markt";"Bedrijvencentrum Westerkwartier";"Bedrijvencentrum Westerkwartier";"E";"E15";"E15c";"-1";52.3825;4.873064;NA;NA
"53195";"NLD";"NH";"Amsterdam";"Amsterdam";"Bijlmerdreef 1134";"1103JT";"Zuidoost";"Bijlmer Oost (E,G,K)";"E-buurt";"E-buurt";"T";"T94";"T94a";"-1";52.32157;4.96934;NA;NA
"25124";"NLD";"NH";"Amsterdam";"Amsterdam";"Louis Chrispijnstraat 50";"1065HH";"Nieuw West";"Slotervaart Noord";"Emanuel van Meterenbuurt";"Emanuel van Meterenbuurt";"F";"F85";"F85b";"-1";52.354426;4.824438;NA;NA
"25754";"NLD";"NH";"Amsterdam";"Amsterdam";"Parnassusweg 200";"1076AT";"Zuid";"Stadionbuurt";"IJsbaanpad e.o.";"IJsbaanpad e.o.";"K";"K48";"K48e";"-1";52.342657;4.868036;NA;NA
"45084";"NLD";"NH";"Amsterdam";"Amsterdam";"Diemerparklaan 27";"1087GZ";"Centrum";"Grachtengordel West";"Felix Meritisbuurt";"Felix Meritisbuurt";"A";"A02";"A02c";"-1";52.356244;4.996554;NA;NA
"45511";"NLD";"NH";"Amsterdam";"Amsterdam";"Meteorensingel 76";"1033CC";"Noord";"Noordelijke IJ-oevers Oost";"Cornelis Douwesterrein";"Cornelis Douwesterrein";"N";"N71";"N71e";"-1";52.408974;4.89076;NA;NA
"45662";"NLD";"NH";"Amsterdam";"Amsterdam";"Geuzenstraat 98";"1056KH";"Nieuw West";"Slotervaart Noord";"Emanuel van Meterenbuurt";"Emanuel van Meterenbuurt";"F";"F85";"F85b";"-1";52.37333;4.864742;NA;NA
"22347";"NLD";"NH";"Amsterdam";"Amsterdam";"Nieuwersluishof 108";"1106PS";"Zuidoost";"Gein";"Gein Noordoost";"Gein Noordoost";"T";"T97";"T97c";"-1";52.301133;4.958423;NA;NA
"23323";"NLD";"NH";"Amsterdam";"Amsterdam";"Van Swindendwarsstraat 107";"1093XC";"Oost";"Dapperbuurt";"Dapperbuurt Noord";"Dapperbuurt Noord";"M";"M29";"M29a";"-1";52.360903;4.926284;NA;NA
"23475";"NLD";"NH";"Amsterdam";"Amsterdam";"Nieuwerhoek 26";"1081CB";"Zuid";"Buitenveldert West";"Buitenveldert West";"Buitenveldert West";"K";"K90";"-1";"-1";52.327236;4.860815;NA;NA
"23811";"NLD";"NH";"Amsterdam";"Amsterdam";"Van Breestraat 16";"1071ZP";"Zuid";"Museumkwartier";"Banpleinbuurt";"Banpleinbuurt";"K";"K47";"K47e";"-1";52.357132;4.87727;NA;NA
"47438";"NLD";"NH";"Amsterdam";"Amsterdam";"Crackstate 37";"1082TW";"Centrum";"De Weteringschans";"Den Texbuurt";"Den Texbuurt";"A";"A07";"A07f";"-1";52.333899;4.878492;NA;NA
"47560";"NLD";"NH";"Amsterdam";"Amsterdam";"Churchill laan 284";"1078GB";"Oost";"IJburg West";"Haveneiland Zuidwest Rieteiland West";"Haveneiland Zuidwest Rieteiland West";"M";"M35";"M35c";"-1";52.347542;4.887798;NA;NA
"46662";"NLD";"NH";"Amsterdam";"Amsterdam";"Couhornerhoek 31";"1035KP";"Noord";"Kadoelen";"Kadoelen";"Kadoelen";"N";"N67";"N67a";"-1";52.422838;4.897444;NA;NA
"46665";"NLD";"NH";"Amsterdam";"Amsterdam";"Schubertstraat 29";"1077GR";"Zuid";"Apollobuurt";"Beethovenbuurt";"Beethovenbuurt";"K";"K49";"K49b";"-1";52.34639;4.877906;NA;NA
